520,315,21,12
520,316,21,12
520,319,19,12
519,319,19,12
518,320,20,12
516,321,20,12
515,322,20,12
516,323,18,12
516,324,18,12
515,326,17,13
514,326,17,13
513,327,17,13
514,330,14,11
513,331,25,14
514,333,24,14
514,335,23,14
514,336,24,14
514,336,24,14
513,337,25,14
517,339,22,14
517,341,22,14
518,342,22,14
517,345,22,14
519,346,22,14
518,348,22,14
518,350,22,14
518,351,22,13
516,354,23,13
516,355,23,13
516,357,23,13
515,357,23,13
516,359,23,13
516,361,23,13
516,362,23,13
516,364,23,13
516,365,23,13
519,367,19,12
518,367,19,12
519,368,19,12
519,370,19,12
522,373,13,11
522,373,31,17
523,375,28,15
524,375,28,18
524,375,28,18
527,377,26,17
527,377,27,18
528,379,29,18
536,382,21,15
536,383,21,15
536,385,21,15
536,385,25,16
537,386,25,16
537,387,25,16
536,389,28,16
535,390,28,16
536,391,28,16
540,393,28,16
538,393,30,16
537,394,32,16
540,397,32,16
540,397,32,16
543,398,31,17
543,399,31,17
545,401,32,18
546,401,32,18
547,403,32,18
550,404,32,18
551,406,32,18
553,407,32,18
554,408,32,18
555,409,32,19
557,411,32,19
558,412,34,19
560,413,34,19
562,414,34,19
563,415,34,19
566,417,36,20
567,418,36,20
569,419,36,20
572,422,36,20
575,423,35,19
576,424,34,20
577,425,34,20
578,427,34,20
582,428,34,20
583,430,34,20
586,432,36,20
587,433,37,20
589,434,37,20
592,437,37,20
594,437,37,20
594,437,40,22
598,440,37,20
601,442,37,20
604,443,35,19
605,445,35,19
608,447,34,17
611,449,37,19
612,449,39,19
616,451,39,19
617,453,39,19
621,454,39,19
623,455,40,20
625,457,40,20
628,459,41,22
630,461,41,21
634,463,41,21
636,463,41,21
638,465,43,23
645,469,38,20
644,471,44,20
645,471,45,21
649,473,42,21
653,473,42,21
654,476,42,21
656,477,42,21
658,479,44,22
659,481,44,22
662,482,42,23
666,484,42,23
666,487,47,23
670,488,45,25
672,489,44,25
675,492,46,25
678,494,45,25
679,496,46,24
683,497,47,25
684,499,48,25
688,501,48,25
690,502,48,26
693,504,48,26
696,506,49,26
700,510,47,25
701,509,48,25
706,511,49,27
707,512,49,27
712,516,49,27
716,518,48,27
718,520,50,26
722,522,51,26
723,524,51,27
726,524,52,29
728,527,52,29
733,530,51,28
738,533,51,28
741,534,53,30
742,536,53,30
747,539,54,30
748,542,55,26
752,544,56,28
756,546,57,30
759,547,54,30
763,550,54,29
767,552,56,31
769,554,56,31
775,558,55,31
779,559,55,31
784,561,55,32
784,563,55,32
793,567,55,32
796,568,55,32
799,571,55,32
806,573,57,32
809,576,58,29
814,578,58,33
819,580,58,33
820,581,61,33
826,583,61,34
831,586,60,33
838,588,59,33
841,590,61,33
844,591,62,34
852,595,59,33
854,595,62,33
861,598,60,34
864,601,59,32
868,602,60,32
875,605,59,32
879,607,61,32
882,609,64,33
887,610,65,34
892,613,62,32
897,615,62,32
903,616,62,33
908,618,63,34
914,620,62,34
918,623,62,32
924,624,62,32
928,625,62,32
935,626,64,34
940,629,63,32
945,630,63,32
953,631,64,33
958,632,64,36
966,633,65,37
971,636,66,37
975,636,69,38
983,638,69,39
989,639,69,39
999,643,67,37
1005,644,66,36
1012,646,64,34
1019,649,64,33
1024,651,67,33
1033,652,67,34
1041,654,67,34
1047,655,67,34
1055,655,67,35
1060,657,67,35
1071,660,67,35
1077,662,67,35
1083,663,67,35
1094,664,67,35
1101,667,67,35
1110,668,68,35
1115,668,70,35
1122,670,71,35
1131,672,71,35
1139,673,71,35
1150,676,71,35
1157,678,71,35
1163,678,72,35
1174,680,73,36
1182,682,73,36
1188,682,73,36
1199,684,73,36
1207,686,73,34
1217,689,63,31
