623,299,11,38
624,296,11,38
624,293,11,38
624,290,11,38
622,286,11,41
621,284,12,41
622,277,12,44
625,271,12,44
627,265,12,44
632,257,13,46
640,250,13,46
648,243,13,48
654,236,13,48
660,229,13,48
664,225,13,48
667,219,13,48
669,213,13,48
672,203,13,50
675,197,14,51
684,189,15,53
693,184,15,55
701,175,16,50
706,169,17,48
709,163,17,54
709,162,17,55
709,160,17,57
709,159,18,63
714,159,22,66
720,164,24,64
726,167,24,64
729,169,24,64
733,170,24,65
733,171,28,65
734,170,30,64
736,165,31,65
738,162,33,64
743,157,35,65
745,150,38,62
747,143,41,64
763,141,39,64
774,138,39,63
786,134,38,63
800,131,41,61
814,130,41,64
826,128,43,64
842,127,42,65
857,128,42,65
873,127,45,65
884,128,45,64
893,131,45,64
897,138,45,64
894,144,43,62
888,153,43,61
886,159,42,61
888,168,41,59
895,177,41,59
905,189,39,58
924,204,38,57
940,222,38,57
959,241,35,53
965,255,35,56
961,265,36,54
955,275,34,54
947,282,34,54
939,290,32,54
935,296,32,52
940,303,30,52
