490,235,34,85
487,234,35,89
483,234,34,95
480,237,37,98
477,240,38,97
473,241,39,97
467,242,40,97
461,246,39,88
457,244,39,97
450,245,39,91
441,244,39,86
432,244,39,84
428,240,39,91
420,239,39,91
411,238,39,91
404,236,39,91
398,240,39,91
387,239,39,91
381,240,39,91
370,239,39,91
361,239,39,91
358,239,35,91
347,241,39,84
340,240,39,87
332,239,39,91
322,236,39,91
316,235,39,91
307,238,49,91
297,241,49,91
287,244,39,91
280,244,39,91
271,244,43,91
265,243,44,91
255,245,39,91
245,246,39,91
248,243,39,91
262,238,39,91
279,228,39,91
305,218,39,91
337,209,39,91
359,197,39,91
389,191,39,91
414,181,39,91
436,180,39,91
454,176,39,91
460,169,39,91
466,166,39,91
465,164,41,81
467,157,39,91
464,155,39,91
461,151,39,91
455,152,39,91
455,153,39,80
451,151,39,82
448,145,39,91
445,143,39,91
441,144,39,91
441,147,39,91
435,140,39,91
428,143,39,91
427,143,39,88
421,148,39,91
411,150,39,91
406,157,39,91
402,158,37,90
402,158,37,90
402,158,37,90
402,158,37,90
403,162,37,90
411,164,37,90
420,163,37,90
424,162,37,90
434,165,37,90
437,171,37,90
434,173,37,90
430,176,37,90
432,179,37,90
426,182,37,90
416,184,37,90
406,188,37,90
399,191,37,90
390,194,37,90
383,197,37,90
379,197,37,90
381,201,37,90
387,201,37,90
395,198,37,90
405,196,37,90
421,200,38,90
429,197,37,90
440,200,37,90
446,198,37,100
450,197,37,90
452,196,37,90
452,198,37,90
456,201,37,90
457,203,37,90
459,204,37,90
466,203,37,90
475,206,37,90
483,205,37,90
492,205,37,90
500,203,37,90
507,200,37,90
508,198,37,90
514,200,37,90
515,202,37,90
515,202,37,90
515,202,37,90
515,202,37,90
506,204,37,90
505,205,37,90
500,206,37,90
495,205,37,90
489,205,37,90
483,205,37,90
486,207,31,84
479,210,37,85
480,210,37,85
478,210,37,85
485,210,43,85
490,210,40,85
499,211,37,85
509,210,37,85
517,203,37,85
520,202,37,85
530,195,37,85
532,196,37,85
539,192,37,85
544,187,37,85
550,187,37,85
554,184,37,85
560,183,37,85
563,176,37,85
568,175,37,85
571,172,37,85
580,169,37,85
584,163,37,85
591,161,37,85
600,162,37,85
609,161,37,85
616,155,37,85
627,152,37,85
633,148,37,85
639,146,37,85
646,145,37,85
648,143,37,85
651,137,37,85
658,136,37,85
662,137,37,85
662,137,37,85
662,135,37,85
662,137,37,85
658,137,37,85
652,128,37,85
652,128,37,85
652,128,37,85
652,128,37,85
661,128,37,85
671,127,37,85
679,127,37,85
693,126,37,85
701,127,37,85
711,126,37,85
717,125,37,85
723,126,38,85
727,124,37,85
729,124,37,85
727,122,37,85
727,126,37,85
727,122,37,85
723,124,37,85
720,126,37,85
712,125,37,85
702,126,37,85
698,123,37,85
695,124,37,85
691,123,37,85
691,122,37,85
695,123,37,85
700,123,37,85
707,125,37,85
713,128,37,85
720,128,37,85
723,127,37,85
721,128,37,85
722,126,37,85
724,132,37,85
723,128,37,85
718,127,37,85
714,130,37,85
712,128,37,85
707,132,37,85
698,130,37,85
694,132,37,85
687,129,37,85
682,133,37,85
676,136,37,85
673,135,37,85
668,138,37,85
662,140,37,85
